# Generated by Cross Validation Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	n_trees	max_depth	criterion	pruning	confidence	pre prunning	min gain	min leaf size	AUC
4.0	9849.0	202.0	10.0	information_gain	true	0.1	true	0.01	2.0	0.8358340295182402
2.0	10693.0	202.0	22.0	information_gain	true	0.1	true	0.01	4.0	0.8355068226120859
26.0	2427.0	34.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.8435623781676413
27.0	2427.0	34.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8531655527708161
22.0	4563.0	130.0	14.0	accuracy	true	0.1	true	0.01	4.0	0.8039118629908103
25.0	4737.0	106.0	22.0	gini_index	true	0.1	true	0.01	1.0	0.8666478696741855
23.0	5049.0	130.0	26.0	accuracy	true	0.1	true	0.01	1.0	0.8087280701754386
28.0	3835.0	58.0	26.0	information_gain	true	0.1	true	0.01	2.0	0.8311514898357004
29.0	4132.0	82.0	18.0	gini_index	true	0.1	true	0.01	1.0	0.8493546365914787
30.0	4257.0	82.0	30.0	gini_index	true	0.1	true	0.01	2.0	0.8502109440267335
33.0	2690.0	34.0	22.0	accuracy	true	0.1	true	0.01	2.0	0.7972918407128934
34.0	2783.0	34.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.8039285714285714
24.0	8269.0	178.0	18.0	information_gain	true	0.1	true	0.01	4.0	0.8357727652464495
38.0	3885.0	58.0	26.0	gini_index	true	0.1	true	0.01	2.0	0.8552979671400724
36.0	5025.0	106.0	22.0	accuracy	true	0.1	true	0.01	1.0	0.8079671400724031
39.0	4307.0	82.0	18.0	accuracy	true	0.1	true	0.01	1.0	0.8098858256752992
40.0	4119.0	82.0	30.0	accuracy	true	0.1	true	0.01	2.0	0.802063492063492
41.0	4275.0	58.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8262886382623224
42.0	4338.0	58.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8262371205792259
31.0	8511.0	202.0	10.0	gini_index	true	0.1	true	0.01	2.0	0.8487921191868562
32.0	8949.0	202.0	22.0	gini_index	true	0.1	true	0.01	4.0	0.8405277081592871
35.0	8199.0	154.0	14.0	information_gain	true	0.1	true	0.01	4.0	0.8276141743247007
44.0	3265.0	58.0	26.0	accuracy	true	0.1	true	0.01	2.0	0.8041868560289614
37.0	8057.0	154.0	26.0	information_gain	true	0.1	true	0.01	1.0	0.8366812865497076
48.0	3422.0	58.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.855694096351991
49.0	3109.0	58.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8603863826232248
43.0	7081.0	178.0	18.0	gini_index	true	0.1	true	0.01	4.0	0.8406585909217487
47.0	5502.0	106.0	30.0	information_gain	true	0.1	true	0.01	2.0	0.8411751601225286
46.0	5751.0	106.0	18.0	information_gain	true	0.1	true	0.01	1.0	0.842372598162072
45.0	6724.0	130.0	22.0	information_gain	true	0.1	true	0.01	1.0	0.8426663881927041
55.0	2938.0	58.0	22.0	accuracy	true	0.1	true	0.01	2.0	0.7970488721804512
56.0	3157.0	58.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.8082045391255919
53.0	4781.0	82.0	26.0	information_gain	true	0.1	true	0.01	2.0	0.8401009468114731
50.0	6824.0	202.0	10.0	accuracy	true	0.1	true	0.01	2.0	0.8144047619047619
52.0	6506.0	154.0	14.0	gini_index	true	0.1	true	0.01	4.0	0.8417467279309385
54.0	6212.0	154.0	26.0	gini_index	true	0.1	true	0.01	1.0	0.8486730715678086
51.0	6743.0	202.0	22.0	accuracy	true	0.1	true	0.01	4.0	0.8103801169590643
58.0	4420.0	106.0	30.0	gini_index	true	0.1	true	0.01	2.0	0.8480353661932609
59.0	4701.0	106.0	18.0	gini_index	true	0.1	true	0.01	1.0	0.850477582846004
57.0	5776.0	178.0	18.0	accuracy	true	0.1	true	0.01	4.0	0.8139167362851574
63.0	3708.0	82.0	26.0	gini_index	true	0.1	true	0.01	2.0	0.8520718462823726
61.0	4300.0	82.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8342676134781399
62.0	4120.0	82.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8319660261765526
60.0	5274.0	130.0	22.0	gini_index	true	0.1	true	0.01	1.0	0.8603007518796992
65.0	4821.0	154.0	14.0	accuracy	true	0.1	true	0.01	4.0	0.8025160122528543
68.0	4044.0	106.0	30.0	accuracy	true	0.1	true	0.01	2.0	0.8028223336118074
66.0	5053.0	154.0	26.0	accuracy	true	0.1	true	0.01	1.0	0.8120196324143691
71.0	3496.0	82.0	26.0	accuracy	true	0.1	true	0.01	2.0	0.8066172375382902
69.0	4074.0	106.0	18.0	accuracy	true	0.1	true	0.01	1.0	0.8044353940406571
72.0	3670.0	82.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.8553745474798106
73.0	3593.0	82.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8621818434976329
74.0	4604.0	130.0	22.0	accuracy	true	0.1	true	0.01	1.0	0.8063025619604568
64.0	8971.0	226.0	10.0	information_gain	true	0.1	true	0.01	2.0	0.8350334168755221
80.0	3199.0	82.0	22.0	accuracy	true	0.1	true	0.01	2.0	0.7990309106098581
81.0	3192.0	82.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.8114543302701197
67.0	9304.0	226.0	22.0	information_gain	true	0.1	true	0.01	4.0	0.8343163464216097
70.0	8115.0	202.0	18.0	information_gain	true	0.1	true	0.01	4.0	0.8375981620718462
78.0	4634.0	106.0	26.0	information_gain	true	0.1	true	0.01	2.0	0.8420669729880258
76.0	5185.0	130.0	30.0	information_gain	true	0.1	true	0.01	2.0	0.8405840991367308
79.0	5216.0	130.0	18.0	information_gain	true	0.1	true	0.01	1.0	0.8382943469785575
75.0	7020.0	178.0	14.0	information_gain	true	0.1	true	0.01	4.0	0.832724171539961
77.0	7121.0	178.0	26.0	information_gain	true	0.1	true	0.01	1.0	0.8379044834307994
82.0	5986.0	154.0	22.0	information_gain	true	0.1	true	0.01	1.0	0.8384203564466723
85.0	4526.0	106.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8351663881927042
84.0	4683.0	106.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8431683375104428
88.0	4312.0	106.0	26.0	gini_index	true	0.1	true	0.01	2.0	0.8512503480924535
83.0	7137.0	226.0	10.0	gini_index	true	0.1	true	0.01	2.0	0.84458089668616
89.0	4807.0	130.0	30.0	gini_index	true	0.1	true	0.01	2.0	0.8425988582567531
90.0	4979.0	130.0	18.0	gini_index	true	0.1	true	0.01	1.0	0.8475619604566973
86.0	7474.0	226.0	22.0	gini_index	true	0.1	true	0.01	4.0	0.8366457811194653
87.0	6854.0	202.0	18.0	gini_index	true	0.1	true	0.01	4.0	0.8445265942634365
94.0	4167.0	106.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8574596212754108
95.0	4307.0	106.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.8497326649958229
96.0	3745.0	106.0	26.0	accuracy	true	0.1	true	0.01	2.0	0.8054037872458923
91.0	6588.0	178.0	14.0	gini_index	true	0.1	true	0.01	4.0	0.8463150932887776
92.0	6260.0	178.0	26.0	gini_index	true	0.1	true	0.01	1.0	0.8493219159008634
93.0	5713.0	154.0	22.0	gini_index	true	0.1	true	0.01	1.0	0.8602401837928154
98.0	4187.0	130.0	30.0	accuracy	true	0.1	true	0.01	2.0	0.8069750765803396
99.0	4333.0	130.0	18.0	accuracy	true	0.1	true	0.01	1.0	0.8076963241436926
97.0	6390.0	226.0	10.0	accuracy	true	0.1	true	0.01	2.0	0.8128780284043442
102.0	3582.0	106.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.8079741019214703
103.0	3614.0	106.0	22.0	accuracy	true	0.1	true	0.01	2.0	0.8006467557783348
101.0	5473.0	202.0	18.0	accuracy	true	0.1	true	0.01	4.0	0.81697925368978
100.0	6004.0	226.0	22.0	accuracy	true	0.1	true	0.01	4.0	0.8092641325536063
105.0	4864.0	178.0	14.0	accuracy	true	0.1	true	0.01	4.0	0.8052492341966027
104.0	5254.0	130.0	26.0	information_gain	true	0.1	true	0.01	2.0	0.8411890838206627
107.0	4457.0	154.0	22.0	accuracy	true	0.1	true	0.01	1.0	0.8085505430242271
106.0	5005.0	178.0	26.0	accuracy	true	0.1	true	0.01	1.0	0.8124839877471455
108.0	5614.0	154.0	30.0	information_gain	true	0.1	true	0.01	2.0	0.8397438039543303
109.0	5602.0	154.0	18.0	information_gain	true	0.1	true	0.01	1.0	0.8363220551378447
111.0	4587.0	130.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8368024227234756
112.0	4727.0	130.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8398767752715122
116.0	4196.0	130.0	26.0	gini_index	true	0.1	true	0.01	2.0	0.8510122528543581
110.0	8024.0	250.0	10.0	information_gain	true	0.1	true	0.01	2.0	0.835456001113896
119.0	4618.0	154.0	30.0	gini_index	true	0.1	true	0.01	2.0	0.8421553884711781
117.0	6228.0	178.0	22.0	information_gain	true	0.1	true	0.01	1.0	0.8384927596769703
113.0	7337.0	226.0	18.0	information_gain	true	0.1	true	0.01	4.0	0.8372291840712893
121.0	3969.0	130.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8556739069896965
115.0	6868.0	202.0	14.0	information_gain	true	0.1	true	0.01	4.0	0.8337559175717072
118.0	6658.0	202.0	26.0	information_gain	true	0.1	true	0.01	1.0	0.8409321915900865
120.0	4740.0	154.0	18.0	gini_index	true	0.1	true	0.01	1.0	0.8518455861876916
122.0	4177.0	130.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.8504935950988584
114.0	8170.0	250.0	22.0	information_gain	true	0.1	true	0.01	4.0	0.834944305207463
123.0	3630.0	130.0	26.0	accuracy	true	0.1	true	0.01	2.0	0.8076726538568645
125.0	4161.0	154.0	30.0	accuracy	true	0.1	true	0.01	2.0	0.8089731272626011
128.0	3802.0	130.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.8078035366193262
132.0	3844.0	130.0	22.0	accuracy	true	0.1	true	0.01	2.0	0.8012092731829574
131.0	4484.0	154.0	18.0	accuracy	true	0.1	true	0.01	1.0	0.8052896129211919
126.0	5710.0	178.0	22.0	gini_index	true	0.1	true	0.01	1.0	0.8605576441102757
130.0	6201.0	202.0	26.0	gini_index	true	0.1	true	0.01	1.0	0.8516562238930661
129.0	6538.0	202.0	14.0	gini_index	true	0.1	true	0.01	4.0	0.8454908103592315
127.0	7007.0	226.0	18.0	gini_index	true	0.1	true	0.01	4.0	0.8398113338902814
124.0	7523.0	250.0	10.0	gini_index	true	0.1	true	0.01	2.0	0.8434628237259817
134.0	6315.0	154.0	26.0	information_gain	true	0.1	true	0.01	2.0	0.8390462266778057
133.0	7736.0	250.0	22.0	gini_index	true	0.1	true	0.01	4.0	0.8390058479532165
136.0	6189.0	154.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8349094959621276
135.0	6909.0	178.0	30.0	information_gain	true	0.1	true	0.01	2.0	0.8405889724310779
139.0	5218.0	178.0	22.0	accuracy	true	0.1	true	0.01	1.0	0.8088352826510722
137.0	6299.0	154.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8328390420495685
140.0	5360.0	202.0	26.0	accuracy	true	0.1	true	0.01	1.0	0.8151566416040099
141.0	5250.0	202.0	14.0	accuracy	true	0.1	true	0.01	4.0	0.8088067390698969
138.0	6908.0	178.0	18.0	information_gain	true	0.1	true	0.01	1.0	0.8359391534391534
142.0	5672.0	226.0	18.0	accuracy	true	0.1	true	0.01	4.0	0.8167341966026177
144.0	5031.0	154.0	26.0	gini_index	true	0.1	true	0.01	2.0	0.8485331384015595
143.0	6406.0	250.0	10.0	accuracy	true	0.1	true	0.01	2.0	0.8144653299916458
146.0	4656.0	154.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8553028404344195
155.0	1391.0	10.0	14.0	information_gain	true	0.1	true	0.01	2.0	0.8173524087997774
145.0	6141.0	250.0	22.0	accuracy	true	0.1	true	0.01	4.0	0.8078285992759676
149.0	4813.0	154.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.8465859092174881
147.0	5281.0	178.0	30.0	gini_index	true	0.1	true	0.01	2.0	0.8436027568922306
157.0	1250.0	10.0	14.0	gini_index	true	0.1	true	0.01	2.0	0.8110613338902815
158.0	1391.0	10.0	26.0	information_gain	true	0.1	true	0.01	4.0	0.785670426065163
154.0	4188.0	154.0	26.0	accuracy	true	0.1	true	0.01	2.0	0.8095753272069061
152.0	5344.0	178.0	18.0	gini_index	true	0.1	true	0.01	1.0	0.8494061542745754
161.0	1281.0	10.0	14.0	accuracy	true	0.1	true	0.01	2.0	0.7808458646616542
162.0	1234.0	10.0	26.0	gini_index	true	0.1	true	0.01	4.0	0.8156509328877751
148.0	7110.0	202.0	22.0	information_gain	true	0.1	true	0.01	1.0	0.8354511278195489
156.0	4000.0	154.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.8104086605402394
166.0	1188.0	10.0	26.0	accuracy	true	0.1	true	0.01	4.0	0.7610923141186299
150.0	7468.0	226.0	26.0	information_gain	true	0.1	true	0.01	1.0	0.8387190197716514
165.0	2016.0	34.0	14.0	information_gain	true	0.1	true	0.01	2.0	0.8277290448343081
151.0	7641.0	226.0	14.0	information_gain	true	0.1	true	0.01	4.0	0.8344910888331942
159.0	4000.0	154.0	22.0	accuracy	true	0.1	true	0.01	2.0	0.8075445558340295
160.0	4437.0	178.0	30.0	accuracy	true	0.1	true	0.01	2.0	0.8109454191033139
153.0	7969.0	250.0	18.0	information_gain	true	0.1	true	0.01	4.0	0.836832358674464
169.0	2109.0	34.0	26.0	information_gain	true	0.1	true	0.01	4.0	0.8236222500696184
171.0	1781.0	34.0	14.0	gini_index	true	0.1	true	0.01	2.0	0.8430896686159844
164.0	4469.0	178.0	18.0	accuracy	true	0.1	true	0.01	1.0	0.8067975494291284
176.0	1797.0	34.0	26.0	gini_index	true	0.1	true	0.01	4.0	0.8306578947368422
177.0	1672.0	34.0	14.0	accuracy	true	0.1	true	0.01	2.0	0.8037621832358675
163.0	6031.0	178.0	26.0	information_gain	true	0.1	true	0.01	2.0	0.8404281537176275
167.0	5437.0	202.0	22.0	gini_index	true	0.1	true	0.01	1.0	0.8620795043163465
179.0	1687.0	34.0	26.0	accuracy	true	0.1	true	0.01	4.0	0.7913993316624895
168.0	5766.0	178.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8337656641604012
170.0	5969.0	226.0	26.0	gini_index	true	0.1	true	0.01	1.0	0.8477812587023115
180.0	2688.0	58.0	14.0	information_gain	true	0.1	true	0.01	2.0	0.8303390420495684
173.0	5968.0	178.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8354908103592316
172.0	6202.0	226.0	14.0	gini_index	true	0.1	true	0.01	4.0	0.8427784739626846
174.0	6640.0	202.0	30.0	information_gain	true	0.1	true	0.01	2.0	0.8417397660818715
183.0	2749.0	58.0	26.0	information_gain	true	0.1	true	0.01	4.0	0.8250675299359511
175.0	6639.0	250.0	18.0	gini_index	true	0.1	true	0.01	4.0	0.8347131718184351
186.0	2405.0	58.0	14.0	gini_index	true	0.1	true	0.01	2.0	0.8545836814257868
181.0	5280.0	178.0	26.0	gini_index	true	0.1	true	0.01	2.0	0.8500013923698134
182.0	5015.0	202.0	22.0	accuracy	true	0.1	true	0.01	1.0	0.8143372319688108
178.0	6639.0	202.0	18.0	information_gain	true	0.1	true	0.01	1.0	0.8366416040100251
190.0	2422.0	58.0	26.0	gini_index	true	0.1	true	0.01	4.0	0.8380625174046227
184.0	5077.0	178.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8556133389028127
192.0	2281.0	58.0	14.0	accuracy	true	0.1	true	0.01	2.0	0.8041868560289614
185.0	5421.0	226.0	26.0	accuracy	true	0.1	true	0.01	1.0	0.817875939849624
187.0	5108.0	178.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.8465928710665553
188.0	5360.0	226.0	14.0	accuracy	true	0.1	true	0.01	4.0	0.8097076023391813
196.0	2125.0	58.0	26.0	accuracy	true	0.1	true	0.01	4.0	0.7939786967418547
189.0	5656.0	202.0	30.0	gini_index	true	0.1	true	0.01	2.0	0.8477624617098302
193.0	4641.0	178.0	26.0	accuracy	true	0.1	true	0.01	2.0	0.8082936507936507
191.0	5844.0	250.0	18.0	accuracy	true	0.1	true	0.01	4.0	0.8136271233639654
198.0	3375.0	82.0	14.0	information_gain	true	0.1	true	0.01	2.0	0.8396714007240323
197.0	4562.0	178.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.8096546922862713
195.0	5813.0	202.0	18.0	gini_index	true	0.1	true	0.01	1.0	0.8529775828460039
205.0	1391.0	10.0	22.0	information_gain	true	0.1	true	0.01	4.0	0.8212339877471457
202.0	3422.0	82.0	26.0	information_gain	true	0.1	true	0.01	4.0	0.8319423558897243
200.0	4532.0	178.0	22.0	accuracy	true	0.1	true	0.01	2.0	0.8054692286271233
194.0	7484.0	226.0	22.0	information_gain	true	0.1	true	0.01	1.0	0.8346177944862155
210.0	1421.0	10.0	22.0	gini_index	true	0.1	true	0.01	4.0	0.8227708159287108
206.0	2953.0	82.0	14.0	gini_index	true	0.1	true	0.01	2.0	0.8516819827346144
214.0	1297.0	10.0	22.0	accuracy	true	0.1	true	0.01	4.0	0.7633611807296018
203.0	4906.0	202.0	30.0	accuracy	true	0.1	true	0.01	2.0	0.8140009746588694
211.0	3031.0	82.0	26.0	gini_index	true	0.1	true	0.01	4.0	0.8396686159844056
199.0	8000.0	250.0	26.0	information_gain	true	0.1	true	0.01	1.0	0.8393609022556392
216.0	1985.0	34.0	22.0	information_gain	true	0.1	true	0.01	4.0	0.8244228627123364
215.0	2672.0	82.0	14.0	accuracy	true	0.1	true	0.01	2.0	0.8066172375382902
208.0	5062.0	202.0	18.0	accuracy	true	0.1	true	0.01	1.0	0.8106746031746033
204.0	6781.0	202.0	26.0	information_gain	true	0.1	true	0.01	2.0	0.8430263157894737
207.0	6516.0	202.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8317954608744083
218.0	2578.0	82.0	26.0	accuracy	true	0.1	true	0.01	4.0	0.7995091896407687
220.0	1734.0	34.0	22.0	gini_index	true	0.1	true	0.01	4.0	0.8249227234753551
209.0	6797.0	250.0	14.0	gini_index	true	0.1	true	0.01	4.0	0.8424401280980229
213.0	6094.0	226.0	22.0	gini_index	true	0.1	true	0.01	1.0	0.8590775549986077
212.0	6828.0	202.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8323698134224451
226.0	1797.0	34.0	22.0	accuracy	true	0.1	true	0.01	4.0	0.798370231133389
221.0	4141.0	106.0	14.0	information_gain	true	0.1	true	0.01	2.0	0.8420015316067948
225.0	4156.0	106.0	26.0	information_gain	true	0.1	true	0.01	4.0	0.8326099972152605
217.0	7344.0	226.0	30.0	information_gain	true	0.1	true	0.01	2.0	0.8381913116123643
219.0	6594.0	250.0	26.0	gini_index	true	0.1	true	0.01	1.0	0.8445948203842942
230.0	2734.0	58.0	22.0	information_gain	true	0.1	true	0.01	4.0	0.8340497076023393
223.0	5844.0	202.0	26.0	gini_index	true	0.1	true	0.01	2.0	0.8496581732108048
224.0	5578.0	202.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8567919799498748
222.0	7360.0	226.0	18.0	information_gain	true	0.1	true	0.01	1.0	0.8383013088276247
231.0	3406.0	106.0	14.0	gini_index	true	0.1	true	0.01	2.0	0.8508932052353104
227.0	5766.0	250.0	14.0	accuracy	true	0.1	true	0.01	4.0	0.8097194374825953
228.0	5437.0	226.0	22.0	accuracy	true	0.1	true	0.01	1.0	0.8175724032302979
235.0	2407.0	58.0	22.0	gini_index	true	0.1	true	0.01	4.0	0.8414404065719856
229.0	5750.0	202.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.8501642996379839
240.0	1375.0	10.0	18.0	information_gain	true	0.1	true	0.01	4.0	0.8016085352269563
232.0	3485.0	106.0	26.0	gini_index	true	0.1	true	0.01	4.0	0.8381397939292677
244.0	1297.0	10.0	18.0	gini_index	true	0.1	true	0.01	4.0	0.7832459621275412
242.0	2078.0	58.0	22.0	accuracy	true	0.1	true	0.01	4.0	0.8074387357282093
239.0	3141.0	106.0	14.0	accuracy	true	0.1	true	0.01	2.0	0.8054037872458923
236.0	5078.0	202.0	26.0	accuracy	true	0.1	true	0.01	2.0	0.8133263714842662
246.0	1312.0	10.0	18.0	accuracy	true	0.1	true	0.01	4.0	0.7618581175160123
233.0	6109.0	226.0	30.0	gini_index	true	0.1	true	0.01	2.0	0.845024366471735
237.0	4828.0	202.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.815448343079922
234.0	5937.0	250.0	26.0	accuracy	true	0.1	true	0.01	1.0	0.8175187969924813
245.0	3203.0	106.0	26.0	accuracy	true	0.1	true	0.01	4.0	0.7999624060150377
253.0	1453.0	10.0	30.0	information_gain	true	0.1	true	0.01	1.0	0.8057268170426066
243.0	4906.0	202.0	22.0	accuracy	true	0.1	true	0.01	2.0	0.8116457811194653
250.0	1953.0	34.0	18.0	information_gain	true	0.1	true	0.01	4.0	0.8281794764689503
238.0	6125.0	226.0	18.0	gini_index	true	0.1	true	0.01	1.0	0.8488178780284045
247.0	3406.0	82.0	22.0	information_gain	true	0.1	true	0.01	4.0	0.8378877749930382
255.0	1313.0	10.0	30.0	gini_index	true	0.1	true	0.01	1.0	0.8257786828181566
257.0	1938.0	34.0	18.0	gini_index	true	0.1	true	0.01	4.0	0.8185268727373991
248.0	4859.0	130.0	14.0	information_gain	true	0.1	true	0.01	2.0	0.8407992202729047
260.0	1328.0	10.0	30.0	accuracy	true	0.1	true	0.01	1.0	0.7576190476190476
241.0	8313.0	250.0	22.0	information_gain	true	0.1	true	0.01	1.0	0.8391673628515732
259.0	2859.0	82.0	22.0	gini_index	true	0.1	true	0.01	4.0	0.8432685881370092
254.0	4687.0	130.0	26.0	information_gain	true	0.1	true	0.01	4.0	0.8362628794207743
261.0	1687.0	34.0	18.0	accuracy	true	0.1	true	0.01	4.0	0.7882177666388193
251.0	5329.0	226.0	30.0	accuracy	true	0.1	true	0.01	2.0	0.8139355332776386
263.0	2015.0	34.0	30.0	information_gain	true	0.1	true	0.01	1.0	0.8239299637983848
249.0	7407.0	226.0	26.0	information_gain	true	0.1	true	0.01	2.0	0.8399122807017545
252.0	7203.0	226.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8290385686438319
258.0	5718.0	226.0	18.0	accuracy	true	0.1	true	0.01	1.0	0.8147291840712892
262.0	3984.0	130.0	14.0	gini_index	true	0.1	true	0.01	2.0	0.8510122528543581
265.0	2641.0	82.0	22.0	accuracy	true	0.1	true	0.01	4.0	0.8101260094681149
267.0	2625.0	58.0	18.0	information_gain	true	0.1	true	0.01	4.0	0.8221191868560289
269.0	1750.0	34.0	30.0	gini_index	true	0.1	true	0.01	1.0	0.8381446672236146
256.0	7406.0	226.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8367140072403231
266.0	4016.0	130.0	26.0	gini_index	true	0.1	true	0.01	4.0	0.8358869395711501
276.0	1813.0	34.0	30.0	accuracy	true	0.1	true	0.01	1.0	0.7983027011974382
275.0	2453.0	58.0	18.0	gini_index	true	0.1	true	0.01	4.0	0.8321310219994432
273.0	3563.0	130.0	14.0	accuracy	true	0.1	true	0.01	2.0	0.8076726538568645
264.0	6687.0	250.0	22.0	gini_index	true	0.1	true	0.01	1.0	0.8565190754664439
274.0	4000.0	106.0	22.0	information_gain	true	0.1	true	0.01	4.0	0.8354908103592313
279.0	2703.0	58.0	30.0	information_gain	true	0.1	true	0.01	1.0	0.8363652186020607
280.0	2172.0	58.0	18.0	accuracy	true	0.1	true	0.01	4.0	0.7937990810359231
278.0	3515.0	130.0	26.0	accuracy	true	0.1	true	0.01	4.0	0.8022521581732107
271.0	5953.0	226.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8525271512113617
268.0	7937.0	250.0	30.0	information_gain	true	0.1	true	0.01	2.0	0.8400751879699249
270.0	6421.0	226.0	26.0	gini_index	true	0.1	true	0.01	2.0	0.8485609857978279
284.0	2250.0	58.0	30.0	gini_index	true	0.1	true	0.01	1.0	0.8467585630743526
283.0	3359.0	106.0	22.0	gini_index	true	0.1	true	0.01	4.0	0.8395523531049847
277.0	6219.0	226.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.8501900584795322
272.0	8000.0	250.0	18.0	information_gain	true	0.1	true	0.01	1.0	0.8389362294625453
285.0	3328.0	82.0	18.0	information_gain	true	0.1	true	0.01	4.0	0.824556530214425
281.0	5312.0	154.0	14.0	information_gain	true	0.1	true	0.01	2.0	0.839436090225564
290.0	2234.0	58.0	30.0	accuracy	true	0.1	true	0.01	1.0	0.8050090504037872
282.0	5844.0	250.0	22.0	accuracy	true	0.1	true	0.01	1.0	0.8162628794207741
291.0	2969.0	106.0	22.0	accuracy	true	0.1	true	0.01	4.0	0.8069165970481761
286.0	5391.0	154.0	26.0	information_gain	true	0.1	true	0.01	4.0	0.8323739905318852
297.0	1360.0	10.0	26.0	information_gain	true	0.1	true	0.01	1.0	0.8146961152882206
287.0	5344.0	226.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.8182936507936509
289.0	5360.0	226.0	26.0	accuracy	true	0.1	true	0.01	2.0	0.8125536062378167
294.0	3032.0	82.0	18.0	gini_index	true	0.1	true	0.01	4.0	0.8381913116123643
300.0	1406.0	10.0	26.0	gini_index	true	0.1	true	0.01	1.0	0.8369075466443888
288.0	6656.0	250.0	30.0	gini_index	true	0.1	true	0.01	2.0	0.8435115566694515
296.0	3438.0	82.0	30.0	information_gain	true	0.1	true	0.01	1.0	0.8446714007240324
