loan_id,amount_loan,duration,payments,status,gender_clt,frequency,region,ratio of urban inhabitants,average salary,ratio enterpreneurs,criminality_growth,unemploymant_growth,age_at_loan,months_acc_at_loan,type_trans_count_c,type_trans_mean_c,amount_trans_mean,amount_trans_min,amount_trans_max,amount_trans_std,amount_trans_last,amount_trans_cov,amount_trans_abs_min,amount_trans_rangev,balance_mean,balance_min,balance_max,balance_std,balance_last,balance_cov,balance_abs_min,balance_rangev,balance_negative,months_until_bankrupt,ops_per_month
5136,187104,24,7796,Yes,F,monthly,north Moravia,0.626,8994,0.11,-0.0020519896339144354,0.9900000000000002,19,4,16,0.64,3475.112,-49500.0,43502.0,26189.536798171266,43502.0,685891837.7027667,2.5,93002.0,66292.37199999999,300.0,137193.5,34581.40134837078,133377.7,1195873319.2171001,300.0,136893.5,0,17,6.25
5138,87216,48,1817,Yes,F,monthly,Prague,1.0,12541,0.167,0.01114566294286997,0.14,41,20,41,0.27702702702702703,181.0493243243245,-9900.0,15608.0,4828.212336527692,-2400.0,23311634.36659818,14.6,25508.0,30847.149324324353,700.0,43787.3,6554.760512834303,29638.3,42964885.380611785,700.0,43087.3,0,16,7.4
5145,309552,48,6449,Yes,M,monthly,north Moravia,0.626,8994,0.11,-0.0020519896339144354,0.9900000000000002,60,8,16,0.45714285714285713,1479.9857142857147,-50600.0,58041.0,24657.712996189184,-16300.0,608002810.202437,14.6,108641.0,56105.49999999996,700.0,121713.2,21979.384405419012,51799.4,483093338.8411764,700.0,121013.2,0,8,4.375
5148,284280,60,4738,Yes,F,monthly,north Bohemia,0.623,9065,0.123,0.00016665789519849832,0.9299999999999997,37,18,36,0.3829787234042553,1006.5680851063828,-56800.0,56756.0,22383.063761266145,-4600.0,501001543.340906,14.6,113556.0,64182.6414893617,300.0,109361.9,20167.802429516258,94617.3,406740254.8360021,300.0,109061.9,0,19,5.222222222222222
5151,189060,60,3151,Yes,F,after-transaction,central Bohemia,0.674,9753,0.109,0.004323083799777174,0.41000000000000014,36,6,14,0.4666666666666667,2298.183333333333,-40300.0,60016.0,25706.572244561994,-3400.0,660827856.5648851,100.0,100316.0,72242.8966666667,200.0,101793.6,24683.06321415813,68945.6,609253609.6341264,200.0,101593.6,0,21,5.0
5160,204000,60,3400,Yes,M,monthly,east Bohemia,0.535,8390,0.132,0.0005390351271224508,0.6100000000000003,51,12,25,0.38461538461538464,584.5046153846159,-16100.0,30604.0,11314.380759892345,-4500.0,128015211.97982211,14.6,46704.0,37809.39846153843,400.0,68172.8,12656.782825432134,45077.7,160194151.49015385,400.0,67772.8,0,13,5.416666666666667
5161,98184,24,4091,Yes,F,monthly,south Moravia,0.43700000000000006,8403,0.105,0.0049124343257443085,-0.020000000000000462,49,3,11,0.7857142857142857,4925.442857142857,-18200.0,24545.0,13942.285612575772,24545.0,194387328.10263738,74.1,42745.0,41660.392857142855,500.0,68956.1,19672.650902026955,68956.1,387013193.513022,500.0,68456.1,0,16,4.666666666666667
5170,253200,60,4220,Yes,F,weekly,east Bohemia,0.619,8363,0.108,0.0016905015394354445,0.9700000000000002,43,8,21,0.5121951219512195,1979.285365853658,-42600.0,46304.0,18722.099418689144,12950.0,350517006.6432805,30.0,88904.0,47302.546341463436,800.0,104417.9,26552.739504598183,81150.6,705047975.1990488,800.0,103617.9,0,19,5.125
5176,192552,24,8023,No,F,weekly,south Bohemia,0.584,8547,0.12,-0.00029725674489709255,0.9900000000000002,30,15,26,0.5098039215686274,435.7921568627451,-18000.0,23844.0,8933.309713915512,-30.0,79804022.44473726,10.2,41844.0,23979.01176470588,800.0,49563.0,13015.026674865436,22225.5,169390919.34745884,800.0,48763.0,0,2,3.4
5189,149040,48,3105,Yes,F,monthly,central Bohemia,0.365,9622,0.154,0.0007139363010166982,0.13999999999999996,25,10,20,0.37037037037037035,352.4740740740742,-15900.0,27946.0,10176.811224139317,126.7,103567486.69176799,14.6,43846.0,36845.58888888889,200.0,62441.6,12658.246764300018,19048.1,160231211.14591196,200.0,62241.6,0,6,5.4
5208,99696,48,2077,No,F,monthly,south Moravia,0.43700000000000006,8403,0.105,0.0049124343257443085,-0.020000000000000462,23,21,45,0.4166666666666667,305.2500000000001,-55900.0,49327.0,18451.812213648747,-2000.0,340469373.967757,0.4,105227.0,46341.29351851856,-974.6,127684.9,28762.206936050658,32966.8,827264547.8322006,68.5,128659.5,1,15,5.142857142857143
5209,182640,48,3805,Yes,F,monthly,south Moravia,0.40700000000000003,8544,0.109,0.0012835648783702158,0.5700000000000001,54,8,17,0.425,597.4600000000003,-23900.0,34246.0,13537.6138604166,900.0,183266989.0337436,11.5,58146.0,37802.23000000001,600.0,64411.8,14199.381522847558,23898.3,201622435.6313846,600.0,63811.8,0,6,5.0
5212,71064,36,1974,Yes,F,monthly,north Bohemia,0.598,8965,0.104,0.001968503937007874,1.1500000000000004,48,13,29,0.3372093023255814,365.08023255813964,-13600.0,22908.0,7683.024506776111,-3000.0,59028865.5717223,14.6,36508.0,34577.30232558138,700.0,55373.3,9923.171541124484,31397.0,98469333.43458277,700.0,54673.3,0,15,6.615384615384615
5237,45336,24,1889,Yes,M,monthly,south Bohemia,0.527,8402,0.12,0.0019444660496227735,0.8500000000000001,38,16,33,0.36666666666666664,442.66333333333347,-19900.0,30436.0,11383.029268904229,-11900.0,129573355.33673033,14.6,50336.0,48152.953333333375,800.0,71486.0,11574.102240004077,40939.5,133959842.66206741,800.0,70686.0,0,21,5.625
5269,164052,36,4557,No,F,after-transaction,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,19,12,28,0.4307692307692308,320.17384615384594,-41400.0,48181.0,18364.06408593354,10800.0,337238849.75227404,0.4,89581.0,41752.16153846152,-2564.7,112045.6,30609.38988808058,20811.2,936934749.3205287,566.6,114610.3,1,4,5.416666666666667
5282,388512,48,8094,No,F,after-transaction,north Moravia,0.484,8173,0.124,-0.03675766563134911,4.185,27,21,54,0.45,322.47666666666674,-44700.0,40855.0,11945.175136843793,-35300.0,142687209.04987115,2.4,85555.0,21371.32,-2838.8,84743.5,21196.682131732654,38697.3,449299333.3937142,210.0,87582.3,1,4,5.714285714285714
5285,78936,12,6578,Yes,F,monthly,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,37,9,24,0.47058823529411764,482.37254901960796,-6300.0,11416.0,4574.925270649935,-1187.0,20929941.232031375,14.6,17716.0,25900.319607843132,900.0,40560.3,7684.869705311071,24601.0,59057222.387607865,900.0,39660.3,0,3,5.666666666666667
5301,141948,36,3943,Yes,F,monthly,north Moravia,0.5720000000000001,9893,0.096,0.00115360413899182,0.6299999999999999,45,4,7,0.7,4723.98,-16200.0,28840.0,13474.868539766909,176.6,181572082.164,49.6,45040.0,32592.68,800.0,63263.1,17970.97897715462,47239.7,322956085.39733326,800.0,62463.1,0,11,2.5
5310,248148,36,6893,Yes,F,monthly,west Bohemia,0.369,8594,0.112,-0.0007581919190526737,0.3899999999999997,54,16,37,0.30833333333333335,342.5716666666668,-28960.0,28362.0,9010.165891189434,-6100.0,81183089.3867535,14.6,57322.0,36063.78833333336,600.0,67486.0,10761.578895609015,41108.6,115811580.32641737,600.0,66886.0,0,5,7.5
5311,30060,60,501,Yes,M,monthly,west Bohemia,0.369,8594,0.112,-0.0007581919190526737,0.3899999999999997,44,21,45,0.24193548387096775,260.87956989247317,-20000.0,29412.0,8808.490245599618,29412.0,77589500.4068236,14.6,49412.0,37213.407526881754,500.0,69382.9,11270.503745870139,48523.3,127024254.68567279,500.0,68882.9,0,96,8.857142857142858
5312,202788,36,5633,Yes,F,weekly,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,42,13,26,0.3291139240506329,1033.2113924050632,-45200.0,72298.0,24885.420719183476,-11994.0,619284164.3707659,30.0,117498.0,57124.26835443034,1100.0,139880.9,23297.66357464454,81623.6,542781128.0373191,1100.0,138780.9,0,14,6.076923076923077
5314,96396,12,8033,No,F,weekly,west Bohemia,0.818,9650,0.1,-0.0019090410496561618,0.29000000000000004,45,4,4,1.0,5025.0,1100.0,9900.0,3774.8068383251966,3300.0,14249166.666666666,1100.0,8800.0,12250.0,1100.0,20100.0,8330.8663014919,20100.0,69403333.33333333,1100.0,19000.0,0,2,1.0
5316,165960,36,4610,Yes,M,monthly,east Bohemia,0.735,8369,0.117,-0.0020938877995546053,0.52,24,5,17,0.4594594594594595,1411.051351351351,-54300.0,36574.0,17882.99905901663,-3419.0,319801655.3447898,2.9,90874.0,52083.85945945945,700.0,120512.8,29122.05945394563,52208.9,848094346.839144,700.0,119812.8,0,11,7.4
5319,239460,60,3991,Yes,F,monthly,north Moravia,0.5720000000000001,9893,0.096,0.00115360413899182,0.6299999999999999,51,9,18,0.391304347826087,787.8369565217396,-23200.0,35918.0,14366.69601417511,-7400.0,206401954.363715,14.6,59118.0,40061.58043478263,300.0,74408.8,16062.53213841481,36240.6,258004938.6976087,300.0,74108.8,0,9,5.111111111111111
5325,105804,36,2939,Yes,F,monthly,south Bohemia,0.748,10045,0.135,-0.0017390227705052733,0.29000000000000004,53,7,13,0.52,1371.7040000000006,-15600.0,26448.0,11376.124631125487,-14.6,129416211.62290001,14.6,42048.0,41297.479999999996,1000.0,65898.5,14151.260443037105,34292.7,200258172.12666667,1000.0,64898.5,0,11,3.5714285714285716
5329,396120,60,6602,Yes,F,weekly,south Bohemia,0.527,8402,0.12,0.0019444660496227735,0.8500000000000001,46,18,36,0.37894736842105264,932.74,-37300.0,59415.0,23071.99069204264,39610.0,532316754.4937022,30.0,96715.0,58855.27789473691,500.0,104859.1,20275.14198096615,88610.1,411081382.3483359,500.0,104359.1,0,13,5.277777777777778
5337,162468,36,4513,Yes,F,monthly,north Bohemia,0.81,9272,0.118,0.0015705610234346742,0.4200000000000004,38,4,10,0.6666666666666666,4975.92,-34500.0,40614.0,20976.229950323705,-1800.0,440002222.9288571,70.9,75114.0,51279.553333333344,700.0,83862.8,24180.888923925817,74638.8,584715389.1512381,700.0,83162.8,0,16,3.75
5350,249312,48,5194,Yes,M,weekly,west Bohemia,1.0,10787,0.131,0.0012907086577216645,0.44999999999999973,40,14,30,0.5,923.7783333333335,-32100.0,47112.0,15757.60533495602,-5300.0,248302125.89223447,30.0,79212.0,35914.85499999999,900.0,88597.4,23021.04106123776,55426.5,529968331.54319483,900.0,87697.4,0,10,4.285714285714286
5351,205200,36,5700,Yes,F,weekly,Prague,1.0,12541,0.167,0.01114566294286997,0.14,31,18,36,0.27906976744186046,423.148062015504,-31200.0,51303.0,15181.225295158476,-12400.0,230469601.4623595,30.0,82503.0,58336.31162790698,900.0,93928.5,17204.070909560676,54586.0,295980055.86119187,900.0,93028.5,0,9,7.166666666666667
5352,68400,12,5700,No,F,monthly,north Moravia,0.5720000000000001,9893,0.096,0.00115360413899182,0.6299999999999999,18,6,9,0.6428571428571429,1710.4428571428573,-15800.0,31037.0,11837.386810032427,147.7,140123726.49032968,66.2,46837.0,31793.735714285714,800.0,51242.2,12297.15509867766,23946.1,151220023.52093405,800.0,50442.2,0,4,2.3333333333333335
5366,86184,12,7182,Yes,F,monthly,north Moravia,0.899,10177,0.081,0.0008059231850084271,1.12,55,7,16,0.38095238095238093,944.3095238095239,-50500.0,64642.0,24820.578617052288,-18346.0,616061122.8852729,14.6,115142.0,60273.67857142853,300.0,128146.0,25642.077157191914,39660.8,657516120.9353833,300.0,127846.0,0,5,6.0
5375,101520,12,8460,Yes,F,monthly,Prague,1.0,12541,0.167,0.01114566294286997,0.14,19,8,18,0.47368421052631576,440.0210526315792,-10000.0,18513.0,7559.930255260935,-14.6,57152545.46440968,14.6,28513.0,26449.092105263157,400.0,43218.7,10352.391968575044,16720.8,107172019.47101706,400.0,42818.7,0,1,4.75
5385,71460,36,1985,Yes,F,monthly,Prague,1.0,12541,0.167,0.01114566294286997,0.14,16,8,16,0.5161290322580645,1601.5774193548389,-26600.0,33669.0,14548.728832117022,-14.6,211665510.63047314,14.6,60269.0,49220.9806451613,700.0,76403.1,16380.59460647302,49648.9,268323879.66161296,700.0,75703.1,0,25,3.875
5388,61560,12,5130,Yes,M,weekly,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,53,10,22,0.30985915492957744,282.41126760563367,-30200.0,46166.0,15201.640624067517,-10303.0,231089877.6632998,30.0,76366.0,32967.71267605635,200.0,73559.9,17762.224670277326,20051.1,315496625.23740846,200.0,73359.9,0,3,7.1
5390,170256,24,7094,Yes,F,monthly,south Bohemia,0.569,8427,0.107,0.00041519839030777913,0.41999999999999993,29,14,31,0.4025974025974026,562.3753246753247,-29300.0,36552.0,13573.222844990716,-3720.0,184232378.39977783,14.6,65852.0,40091.18311688309,200.0,79869.8,13589.38398884065,43302.8,184671357.1961586,200.0,79669.8,0,6,5.5
5395,299088,36,8308,No,F,monthly,north Moravia,0.631,8110,0.109,-0.0015558111905255812,0.7800000000000002,27,13,46,0.36507936507936506,154.35476190476177,-59400.0,47189.0,19417.910063887335,14198.0,377055231.24921715,14.6,106589.0,51992.854761904746,500.0,193909.9,33855.698025767204,19448.5,1146208288.811937,500.0,193409.9,0,2,9.692307692307692
5409,182040,60,3034,Yes,F,monthly,south Bohemia,0.527,8402,0.12,0.0019444660496227735,0.8500000000000001,44,12,24,0.4067796610169492,656.7389830508471,-53500.0,61557.0,26231.609295302205,-3000.0,688097326.2213851,14.6,115057.0,67475.90169491527,600.0,110447.5,21927.679528674224,38747.5,480823129.51223844,600.0,109847.5,0,12,4.916666666666667
5413,92976,24,3874,Yes,F,weekly,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,25,19,50,0.45871559633027525,197.54036697247682,-45500.0,48996.0,17278.426735303314,-13386.0,298544030.4472443,30.0,94496.0,50436.466055045865,300.0,122342.1,26490.316135252076,21531.8,701736848.9455965,300.0,122042.1,0,5,5.7368421052631575
5414,185952,48,3874,Yes,M,monthly,north Bohemia,0.877,9675,0.1,-0.0010619949535277395,1.25,50,12,20,0.5882352941176471,2423.091176470588,-57400.0,46725.0,20039.547224416445,35092.0,401583452.95961684,68.7,104125.0,50113.19411764706,700.0,145318.2,31588.379961912357,82385.2,997825748.6181463,700.0,144618.2,0,21,2.8333333333333335
5415,139464,36,3874,No,M,monthly,north Moravia,0.564,8746,0.09,0.0004285078587242552,0.41000000000000014,38,13,19,0.6129032258064516,1343.974193548387,-23400.0,36854.0,14163.238445849118,-23400.0,200597323.27397847,20.2,60254.0,31532.748387096784,300.0,65062.8,12989.781215090346,41662.8,168734416.015914,300.0,64762.8,0,10,2.3846153846153846
5418,347952,48,7249,Yes,F,monthly,west Bohemia,0.556,8843,0.113,0.0015312595703723148,0.7800000000000002,30,22,50,0.4166666666666667,479.5549999999998,-54600.0,49271.0,19447.141625048156,-5800.0,378191317.3846807,14.6,103871.0,54157.19416666667,300.0,123013.2,23422.026500661654,57546.3,548591325.3976967,300.0,122713.2,0,7,5.454545454545454
5429,20196,36,561,Yes,M,monthly,Prague,1.0,12541,0.167,0.01114566294286997,0.14,25,17,34,0.3541666666666667,684.2145833333334,-24500.0,35469.0,13424.179678797036,-5742.0,180208600.0486272,14.6,59969.0,52636.598958333314,200.0,77158.8,15288.688964738765,65684.6,233744010.26052523,200.0,76958.8,0,117,5.647058823529412
5445,46320,24,1930,Yes,M,monthly,north Bohemia,0.847,8705,0.116,0.001562301441951905,1.8600000000000003,17,17,48,0.2696629213483146,132.3196629213484,-61600.0,49053.0,15515.980277787308,-11352.0,240745643.9806846,14.6,110653.0,43657.81348314611,900.0,119892.5,20752.088935048898,26652.7,430649195.16817874,900.0,118992.5,0,13,10.470588235294118
5449,99336,24,4139,Yes,F,monthly,north Moravia,0.5720000000000001,9893,0.096,0.00115360413899182,0.6299999999999999,15,11,24,0.46153846153846156,592.773076923077,-11900.0,16866.0,6291.603155221278,130.2,39584270.262790345,14.6,28766.0,27019.571153846144,300.0,46568.0,7892.721828749214,30838.7,62295057.866014324,300.0,46268.0,0,7,4.7272727272727275
5450,199680,60,3328,Yes,M,monthly,east Bohemia,0.619,8363,0.108,0.0016905015394354445,0.9700000000000002,45,14,28,0.3783783783783784,269.245945945946,-22637.0,29954.0,11145.596511039737,137.0,124224321.58690114,14.6,52591.0,33658.61756756758,500.0,62238.8,11909.168772706618,19938.6,141828300.85681042,500.0,61738.8,0,5,5.285714285714286
5452,49440,60,824,Yes,F,monthly,north Moravia,0.899,10177,0.081,0.0008059231850084271,1.12,29,15,31,0.2818181818181818,409.2881818181817,-20000.0,30378.0,9690.502464384619,-8000.0,93905838.01224437,4.0,50378.0,47798.86545454537,300.0,74419.8,12804.463916870107,45021.6,163954296.1984287,300.0,74119.8,0,54,7.333333333333333
5453,156672,36,4352,Yes,F,monthly,west Bohemia,0.369,8594,0.112,-0.0007581919190526737,0.3899999999999997,38,14,37,0.49333333333333335,310.28666666666686,-9000.0,10380.0,4448.2020854872735,80.2,19786501.793333333,11.2,19380.0,22927.502666666693,500.0,41876.9,6686.145590252044,23286.1,44704542.85404685,500.0,41376.9,0,5,5.357142857142857
5464,95808,12,7984,Yes,M,monthly,east Bohemia,0.763,9425,0.125,-0.0011986110939488676,0.78,54,14,40,0.4444444444444444,805.5611111111111,-57700.0,49008.0,22066.45907735857,26373.0,486928616.21274024,14.6,106708.0,59701.78666666667,900.0,122452.2,24705.82136034003,72500.4,610377609.0890336,900.0,121552.2,0,9,6.428571428571429
5470,200976,48,4187,Yes,M,monthly,south Moravia,0.43700000000000006,8403,0.105,0.0049124343257443085,-0.020000000000000462,41,7,17,0.4857142857142857,1355.1857142857143,-26600.0,37686.0,15562.094747213838,25124.0,242178792.9212605,14.6,64286.0,47938.06571428571,600.0,83553.5,18916.939576271827,47431.4,357850602.93231934,600.0,82953.5,0,11,5.0
5479,24516,12,2043,Yes,M,monthly,Prague,1.0,12541,0.167,0.01114566294286997,0.14,35,11,31,0.4246575342465753,1077.4821917808217,-59200.0,49536.0,24002.833071439152,290.4,576135995.4553729,12.5,108736.0,55582.22602739725,200.0,125254.2,29534.218113303323,78670.8,872270039.5641743,200.0,125054.2,0,38,6.636363636363637
5482,165120,60,2752,Yes,F,monthly,east Bohemia,0.705,8541,0.131,0.0028126973193272485,0.4600000000000004,45,20,50,0.43103448275862066,196.08103448275895,-6300.0,11210.0,4432.9949332136675,-1080.0,19651444.07789805,14.6,17510.0,24377.371551724114,1100.0,37946.3,6878.836566414742,22745.4,47318392.50744453,1100.0,36846.3,0,8,5.8
5494,360000,48,7500,Yes,F,after-transaction,south Moravia,0.747,9624,0.145,-0.0011111167484360652,0.71,23,19,57,0.41911764705882354,476.2169117647058,-59500.0,73228.0,24743.35957066148,-34500.0,612233842.8430452,0.3,132728.0,51149.65514705883,600.0,126072.0,26193.21138092937,64765.2,686084322.4460474,600.0,125472.0,0,8,7.157894736842105
5495,89340,60,1489,Yes,F,monthly,south Moravia,0.519,8441,0.115,0.0033712028777238504,1.0300000000000002,24,9,20,0.45454545454545453,943.6954545454548,-8200.0,17313.0,6747.272780011627,-14.6,45525689.96788583,14.6,25513.0,39644.76363636365,500.0,54020.1,10748.387757632041,41522.6,115527839.38841438,500.0,53520.1,0,27,4.888888888888889
5519,91632,12,7636,Yes,F,monthly,east Bohemia,0.619,8363,0.108,0.0016905015394354445,0.9700000000000002,31,12,27,0.38571428571428573,472.31142857142873,-18300.0,26378.0,9484.374323408698,-6100.0,89953356.30653417,14.6,44678.0,40976.942857142836,700.0,64577.8,10641.422753595749,33061.9,113239878.22074535,700.0,63877.8,0,4,5.833333333333333
5523,93888,36,2608,Yes,F,after-transaction,south Moravia,0.505,8288,0.11,-0.0011790135586559245,0.7299999999999995,43,5,12,0.631578947368421,1827.1789473684212,-15500.0,15649.0,9929.780911121125,-12000.0,98600548.9428655,48.0,31149.0,37510.49473684211,600.0,52378.2,14598.865783434976,34716.3,213126882.16274855,600.0,51778.2,0,13,3.8
5533,111384,24,4641,Yes,M,monthly,central Bohemia,0.365,9622,0.154,0.0007139363010166982,0.13999999999999996,27,16,55,0.3618421052631579,344.2026315789472,-61700.0,49388.0,20818.629661712035,31759.0,433415340.99151623,14.6,111088.0,65097.22434210526,500.0,141386.0,26285.863067554485,52318.9,690946597.2062247,500.0,140886.0,0,11,9.5
5549,50460,60,841,Yes,F,monthly,central Bohemia,0.365,9622,0.154,0.0007139363010166982,0.13999999999999996,46,9,19,0.4418604651162791,965.8372093023257,-15000.0,22927.5,9363.894257275637,-600.0,87682515.66143964,14.6,37927.5,37570.627906976755,800.0,51971.4,10371.123781863109,41531.0,107560208.49872647,800.0,51171.4,0,49,4.777777777777778
5563,380160,60,6336,Yes,M,monthly,north Moravia,1.0,10673,0.1,-0.0013431315033809862,0.6900000000000004,46,19,47,0.43119266055045874,225.22660550458687,-62500.0,48887.0,23113.020728863998,-6100.0,534211727.21289665,14.6,111387.0,64777.07522935782,1100.0,147375.1,27227.866078850297,24549.6,741356691.2078066,1100.0,146275.1,0,3,5.7368421052631575
